method,url,headers,body,label
GET,/blog/2025/textbook-portfolio-dog-cafe?q=journal&ref=search,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""*/*""}",,benign
POST,/apps/41993/api/v1/items?min=3760&input=vbscript:msgbox(1),"{""user-agent"": ""vbscript:msgbox(1)"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""value"": ""howto"", ""email"": ""resume"", ""title"": ""rust""}",xss
DELETE,/blog/2025/tea-apartment-howto?brand=hp&format=csv&q=tutorial&offset=152,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""application/json"", ""x-forwarded-for"": ""10.82.229.189""}",,benign
POST,/api/v2/orders/72786/items?min=2145&sort=popularity,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""email"": ""textbook"", ""quantity"": ""57""}",benign
DELETE,/categories/furniture/products?offset=282&max=97689&filter=java,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""text/html,application/xhtml+xml""}",,benign
GET,/register?min=4888,"{""user-agent"": ""axios/1.6.0"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/login"", ""x-forwarded-for"": ""10.97.93.199""}",,benign
DELETE,/categories/toys/products,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""application/json"", ""referer"": ""https://example.com/dashboard/apps/68891/metrics""}",,benign
DELETE,/apps/app-60244/dashboard?format=json&min=3467,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""application/json"", ""referer"": ""https://example.com/apps/40312/api/v1/items""}",,benign
GET,/checkout/cart?lang=de,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""text/html,application/xhtml+xml""}",,benign
DELETE,/account/preferences?q=;cat /etc/passwd,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""application/json""}",,cmdi
POST,/apps/app-43372/dashboard?q=flat,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/blog/2026/pet-camera""}","{""category"": ""juice"", ""description"": ""monitor"", ""email"": ""food"", ""price"": ""104""}",benign
